7001;31;2539130.004;1153368.066;;310;;Thuja;19.08.2026;;
7002;31;2539129.86;1153364.6;;228;;Thuja;19.08.2026;;
7003;31;2539126.603;1153359.397;;60;;Taxus;19.08.2026;;
7004;31;2539125.969;1153356.901;;355;;Prunus;19.08.2026;;
7005;31;2539126.536;1153352.711;;197;;Prunus;19.08.2026;;
7006;31;2539123.635;1153349.379;;209;;Parrotia;19.08.2026;;
7007;31;2539134.228;1153381.028;;265;;Pinus;19.08.2026;;
7008;31;2539135.467;1153387.199;;148;;Pinus;19.08.2026;;
7009;31;2539127.26;1153380.173;;203;;Acer;19.08.2026;;
7010;31;2539192.961;1153568.811;;30;2.5;Pinus;19.08.2026;;
